Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
"Regarding Frey Syndrome, which if the following statements is INCORRECT  ","If treatment is desired, a short course of corticosteroids could provide long-term relief","Characterized by sweating, flushing, warmth, and occasionally pain in the preauricular and temporal regions along the distribution of the auriculotemporal nerve",Most cases are mild and no treatment is required,Minor starch-iodine test can be used to detect sweating ,Pain,,,,,
"A 67 year old woman came to your office complaining of recurrent episodes of severe, intermittent, attacks of pain, which she described as “electric shock-like”, that lasted about 30 seconds. The pain was felt on the left side of her face, upper lip, and nose. The pain attacks occurred both spontaneously and triggered by light touch to the upper lip. The most likely diagnosis is   ",Trigeminal Neuralgia- Maxillary Division ,Trigeminal Neuralgia- Mandibular Division ,Facial Neuralgia ,Post herpetic Neuralgia ,Pain,,,,,
Jaw claudication can be seen in which of the following conditions  ,Temporal arteritis ,Myofascial Pain ,Giant Cell Myocarditis  ,Giant Cell Granulomatositis  ,Pain,,,,,
Hyperactivity of the sensory component of the trigeminal system and loss of central inhibition secondary to damage to the chorda tympani or a disturbance in the balance between the gustatory and sensory systems are pathophysiological mechanisms believed to be involved in which of the following conditions  ,Burning Mouth Disorder ,Sjogren Syndrome ,Multiple Sclerosis ,Vitamin B deficiency   ,Pain,,,,,
"A 61-year old man presented to your clinic with the chief complaint of pain in the right ear, post mandibular area, throat and tongue. The pain was described as moderate to severe, intermittent, short paroxysms of lancinating and sharp pain. The pain was spontaneous, but was also triggered by jaw movements, talking, and swallowing. The ENT physician found no ear pathology. Which is the most likely diagnosis  ",Glossopharyngeal Neuralgia ,Atypical Trigeminal Neuralgia ,Hypoglossal Neuralgia ,Trigeminal Neuralgia ,Pain,,,,,
The most common salivary malignancy of the jaws is a/an,Mucoepidermoid carcinoma,Squamous cell carcinoma,Adenoid cystic carcinoma,Pleomorphic adenoma,Salivary,,,,,
"Oncocytic epithelium with papillary architecture, cystic areas, and a lymphoid stroma",Warthin tumor,Pleomorphic adenoma,Basal cell adenoma,Papilloma,Salivary,,,,,
"The papillary cystadenoma lymphomatosum occurs exclusively in the parotid gland, is related to smoking, and has the eponym",Warthin tumor,Stensen tumor,Wilms tumor,Schimke tumor,Salivary,,,,,
A salivary gland malignancy with poor long-term prognosis that is known to encircle nerves (perineural invasion) is ,Adenoid cystic carcinoma,Mucoepidermoid carcinoma,Pleomorphic adenoma,Mixed tumor,Salivary,,,,,
The most common site for salivary gland tumors is/are the ,Parotid gland,Submandibular gland,Sublingual gland,Minor salivary glands,Salivary,,,,,
Biopsy of the contents of a Stafne defect most often reveals which of the following?,Salivary gland tissue,Muscle,Adipose tissue,,Salivary,Developmental,,,,
Parotid lymphoepithelial cysts are becoming a more common presentation in patients infected with which of the following types of viruses?,HIV - human immunodeficiency virus,HHV - human herpes virus,HSV - herpes simplex virus,HPV - human papilloma virus,Salivary,Infection,Viral,,,
Polymorphous adenocarcinoma is characterized by,A good long term prognosis,An exclusive parotid gland location,Painful presentation,A high grade designation,Salivary,,,,,
Both primary and secondary Sjögren syndromes are characterized by,Serologic evidence of systemic autoimmunity,Presence of a diagnosed autoimmune disease,As association with sarcoidosis,An association with bulimia,Salivary,,,,,
Which of the following statements accurately describes a biopsy that is supportive of the diagnosis of Sjögren syndrome?,Will have at least one or more foci of 50 or more lymphocytes  in a 4 square millimeter area of glandular tissue,Consist of one minor salivary gland,Is completely reliable,Must contain at least 4 square centimeters of glandular tissue,Salivary,,,,,
Patients with Sjögren syndrome are at an increased risk for ,Lymphoma and caries,Melanoma and lymphoma,Candidiasis and melanoma,Lipomas and caries,Salivary,,,,,
Necrotizing sialometaplasia can be clinically and microscopically mistaken for a squamous cell carcinoma or a malignant salivary gland tumor.,TRUE,FALSE,,,Salivary,,,,,
Benign salivary gland tumors are characterized by,The majority of them being found in the parotid gland,A predilection for the sublingual gland,A predilection for the submandibular gland,A high mitotic rate,Salivary,,,,,
The treatment for a pleomorphic adenoma in the parotid gland is ,Surgical excision,Conservative enucleation,Observation,Radiation,Salivary,,,,,
Which of the following is a salivary gland neoplasm?,Papillary cystadenoma lymphomatosum (Warthin tumor),Oncocytosis,Necrotizing sialometaplasia,Adenomatoid hyperplasia,Salivary,,,,,
Which of the following is a characteristic of a Warthin tumor?,Tendency for tumors in both left and right parotid glands,Predilection for young men,Predominately sublingual location,Very poor prognosis,Salivary,,,,,
The most common location for canalicular adenoma is the lower lip. ,FALSE,TRUE,,,Salivary,,,,,
Mucoepidermoid carcinoma is the most common salivary gland tumor. ,FALSE,TRUE,,,Salivary,,,,,
The treatment of mucoepidermoid carcinoma depends on all of the following EXCEPT,Location,Grade,Rate of growth,Stage,Salivary,,,,,
Acinic cell adenocarcinoma is characterized by its,Common location in the parotid gland,Single growth pattern,High grade designation,Association with xerostomia ,Salivary,,,,,
Which of the following is a characteristic of mucoceles?,Often the result of local trauma,Predilection for the elderly,Cyst lining,Upper lip is a common location,Salivary,,,,,
Which of the following is TRUE of a ranula?,A subtype of the mucocele,The result of mucin spillage from the parotid gland,An entity that occurs only in frogs,Characterized by a lack of foamy histiocytes ,Salivary,,,,,
Mucoceles and salivary duct cysts BOTH are characterized by,A good prognosis,An epithelial cystic lining,Uncertain causes,A predilection for teenagers,Salivary,,,,,
Sialoliths can be imaged by what method?,Computed tomography,Angiogram,Photograph,PET scan,Salivary,,,,,
Sialadenitis is characterized by a/an,Infiltration of inflammatory cells,Single cause,Single treatment,Cystic lining,Salivary,,,,,
Which of the following is TRUE concerning cheilitis glandularis? ,Of uncertain etiology and may be associated with sun damage or possibly even an STD,A rare inflammatory condition of the major salivary glands ,Found most commonly in young women,Associated with sialoliths,Salivary,,,,,
Sialorrhea can result from,Painful canker sores,Smoking ,Radiation therapy,Anticholinergic medication,Salivary,,,,,
Xerostomia is characterized by a/an,Increased incidence of oral fungal infections,Salivary gland hyperfunction,Associated with poor neuromuscular control,Association with rabies,Salivary,,,,,
Mikulicz disease and Sjögren syndrome are essentially the same.,TRUE,FALSE,,,Salivary,Syndromes,,,,
Serous salivary glands are more sensitive to radiotherapy than mucous glands.,TRUE,FALSE,,,Salivary,,,,,
Mucin that is entrapped within epithelium of the maxillary sinus that can also lead to bone destruction is best termed a/an,TRUE sinus mucocele,Antral pseudocyst,Retention cyst,Antral polyp ,Salivary,Head & Neck,,,,
"Female patient presents with xerophthalmia, xerostomia, arthritis, and lymphoma. She has",Sjogren syndrome,Acute necrotizing sialadenitis,Necrotizing sialometaplasia,Keratoacanthoma,Salivary,Syndromes,,,,
Intraoral salivary glands are present on ,Incisive papilla,Gingival and attached alveolar mucosa,Mid-palatine raphe,Anterior hard palate,Salivary,,,,,
A mucocele is a TRUE cyst.,FALSE,TRUE,,,Salivary,,,,,
"A 44 year-old man presents with a bluish, dome-shaped lesion on the buccal mucosa. A biopsy shows the lesion is lined by cuboidal epithelium. What was biopsied?",Salivary gland duct,Ranula,Mucocele,Lipoma,Salivary,,,,,
What is an autoimmune disease that involves salivary glands and lacrimal glands?,Sjogren syndrome,Necrotizing sialometaplasia,Behçet syndrome ,Myospherulosis,Salivary,Syndromes,,,,
"A 54 year-old male complains of difficulty chewing and swallowing. Clinical examinations show dry mucosa, cervical caries, and a fissured bald tongue. A differential diagnosis would include",Xerostomia,Xerophthalmia,Xeroderma,Xerophagia,Salivary,,,,,
"A 30 year-old man presents with bilateral swelling of the parotids. He is currently taking sympathomimetic drugs used for treating asthma. He has decreased salivary secretion. A sialography demonstrates a “leafless tree” pattern. Histologically, his acinar cells are engorged with zymogen granules. What does the patient have?",Sialadenosis,Necrotizing sialometaplasia,Myoepithelial sialadenitis,Sialorrhea,Salivary,,,,,
Most cases of xerostomia are due to the side effects of pilocarpine.  ,FALSE,TRUE,,,Salivary,,,,,
Acute necrotizing sialadenitis is associated with ,Heavy mixed inflammatory infiltrate,Trismus,Periodic swelling and pain at mealtime,The major salivary glands,Salivary,,,,,
Chronic bacterial sialadenitis is caused by persistent ductal obstruction. ,TRUE,FALSE,,,Salivary,,,,,
Ductal dilation and atrophy of acini are histologic features.,TRUE,FALSE,,,Salivary,,,,,
Sialadenitis may result from sialolithiasis. ,TRUE,FALSE,,,Salivary,,,,,
Chronic and acute cells are present in acute necrotizing sialadenitis. ,FALSE,TRUE,,,Salivary,,,,,
Ductal dilation and atrophy of acini are seen in ,Chronic bacterial sialadenitis,Acute bacterial sialadenitis,Acute necrotizing sialadenitis,Non-infectious sialadenitis,Salivary,,,,,
Atrophic ducts and loss of acinar cells are seen in which of the following?,Acute necrotizing sialadenitis,Chronic bacterial sialadenitis,Acute bacterial sialadenitis,Non-infectious sialadenitis,Salivary,,,,,
Punctate sialectasia is associated with necrotizing sialometaplasia.,FALSE,TRUE,,,Salivary,,,,,
Which of the following is one of the most common soft tissue enlargements of the oral mucosa? ,Mucocele,Ranula,Salivary duct cyst,Sialolithiasis ,Salivary,,,,,
Most common location is the lower lip. Many foamy histiocytes present. Adjacent minor salivary glands with chronic inflammation. This is indicative of ,Mucocele,Ranula,Salivary duct cyst,Sialolithiasis ,Salivary,,,,,
"Bluish, dome-shaped. Arises from salivary gland tissue. May have large pink cells present histologically. In major to minor salivary glands. This is indicative of ",Salivary duct cyst,Ranula,Mucocele,Sialolithiasis ,Salivary,,,,,
"Removal of offending gland, or the roof of the lesion. Lesion likely to recur if gland is not removed. Lesion may fill floor of mouth and elevate tongue. This is indicative of ",Ranula,Salivary duct cyst,Mucocele,Sialolithiasis ,Salivary,,,,,
One of the most common soft tissue enlargements of the oral mucosa which may demonstrate an ectatic ruptured salivary duct histologically is a:,Mucocele ,Ranula,Salivary duct cyst,Sialolithiasis ,Salivary,,,,,
A plunging ranula dissects through the ,Mylohyoid muscle,Genioglossus muscle,Geniohyoid muscle,Hyoglossus muscle ,Salivary,,,,,
A large mucous escape reaction in the floor of the mouth is a/an,Ranula,Mucocele,Irritation fibroma,Epulis granulomatosum,Salivary,,,,,
In Sjogren syndrome males predominate by a ratio of 10:1. ,FALSE,TRUE,,,Salivary,,,,,
"The most common salivary gland neoplasm, accounting for 53% to 77% of parotid tumors, is the ",Pleomorphic adenoma,Basal cell adenoma,Monomorphic adenoma,Warthin’s tumor,Salivary,,,,,
"A slow-growing tumor which occurs almost exclusively in the parotid and is the second most common benign parotid tumor, is the ",Warthin tumor,Basal cell adenoma,Monomorphic adenoma,Pleomorphic adenoma,Salivary,,,,,
The most common malignant salivary gland tumor is the ,Mucoepidermoid carcinoma,Epithelial Myoepithelial carcinoma,Canalicular adenoma,Polymorphous low-grade adenocarcinoma,Salivary,,,,,
"When biopsied, a painful hard palate mass has a histologic cribriform pattern (”Swiss cheese”) and tumor cells that swirl around nerves. Your diagnosis is ",Adenoid cystic carcinoma ,Pleomorphic adenoma,Mucoepidermoid carcinoma,Basal cell adenoma,Salivary,,,,,
"A palatal swelling was discovered on intraoral examination in a 55 year-old man who sought care for canker sores in the “roof of his mouth”. The swelling extended from the midline into the left hard palate and measured about 4-5cm in dimensions. There were two deep ulcers on the overlying mucosa. The patient didn’t know how long the swelling has been present, but did complain of some pain and some numbness in the “roof of his mouth”. An incisional biopsy was performed. The pathologist reported the presence of malignant ductal epithelial cells arranged in sheets possessing a “honeycombed: appearance. The lesion was not encapsulated and there was evidence of “perineural invasion”. What is the diagnosis?",Adenoid Cystic Carcinoma,Acinic Cell Adenocarcinoma,Polymorphous Adenocarcinoma,Mucoepidermoid Carcinoma,Salivary,,,,,
Which of the following features represent the most likely reason for the poor long-term prognosis of patients with adenoid cystic carcinoma?,Malignant epithelial cells invade nerves,Lesion spreads early and wide,Malignant cells are poorly differentiated,"Lesion appears clinically benign, delaying diagnosis ",Salivary,,,,,
"A 3.0 x 1.5 cm submucosal lesion was discovered in the left hard palate. The overlying mucosa is the same color as the surrounding tissue and shows no signs of ulceration, discoloration, or other change. Assuming that this lesion arose in this location, which is the LEAST likely possibility?",Mucoepidermoid carcinoma,Mixed tumor,Neurilemmoma,Squamous cell carcinoma,Salivary,Chemical/Physical Injury,,,,
The most common MALIGNANT salivary gland tumor is ,Mucoepidermoid carcinoma,Acinic Cell Adenocarcinoma,Polymorphous Adenocarcinoma,Adenoid Cystic Carcinoma,Salivary,,,,,
A malignant salivary gland neoplasm that can manifest in “high grade” (malignant) or “low grade”(more benign) forms is ,Mucoepidermoid carcinoma,Mixed tumor,Neurilemoma,Adenoid Cystic Carcinoma,Salivary,,,,,
"An oncocytoma is a benign salivary gland tumor composed of large, polyhedral cells, with eosinophilic and granular cytoplasm and centrally located nuclei. ",TRUE,FALSE,,,Salivary,,,,,
"Oncocytoma is a rare, benign tumor, owing its appearance to an increase in mitochondria. ",TRUE,FALSE,,,Salivary,,,,,
The most common salivary gland tumor in children is ,Mucoepidermoid Carcinoma,Ductal Papillomas,Acinic Cell Carcinoma,Adenoid Cystic Carcinoma,Salivary,,,,,
The most common salivary gland tumor in bone is ,Intraosseous central mucoepidermoid carcinoma,Adenoid intraosseous carcinoma,Basilar intraosseous carcinoma,Polymorphous intraosseous carcinoma,Salivary,,,,,
Intraosseous mucoepidermoid carcinoma may arise from all of the following EXCEPT ,Hyalinized stroma,Ectopic salivary gland tissue,Sinus glandular tissue,Odontogenic epithelium,Salivary,,,,,
Mucoepidermoid carcinoma is more often associated with the lower lip than upper lip. ,TRUE,FALSE,,,Salivary,,,,,
"Mucoepidermoid carcinoma usually appears as a bluish mass or swelling, but may be normal or reddish",TRUE,FALSE,,,Salivary,,,,,
The palate is the most common intraoral site for an adenoid cystic carcinoma. ,TRUE,FALSE,,,Salivary,,,,,
The most common salivary gland tumor of the submandibular gland is ,Adenoid cystic carcinoma,Acinic cell adenocarcinoma,Polymorphous adenocarcinoma,Canalicular adenoma,Salivary,,,,,
Adenoid cystic carcinoma is relentless. ,TRUE,FALSE,,,Salivary,,,,,
The most common malignant mixed tumor is the ,"Carcinoma, ex: pleomorphic adenoma",Metastasizing mixed tumor,Adenoid cystic carcinoma,Carcinosarcoma,Salivary,,,,,
A rare tumor in which both epithelial and mesenchymal elements are malignant. ,Carcinosarcoma,Carcinoma ex pleomorphic adenoma,Metastasizing mixed tumor,Adenoid cystic carcinoma,Salivary,,,,,
The most common salivary gland tumor is the ,Pleomorphic adenoma,Squamous cell carcinoma,Nasopharyngeal carcinoma,Basal cell carcinoma,Salivary,,,,,
"A benign tumor characterized by a papillary proliferation of oncocytic cells and lymphoid tissue. Predominantly found in males. Slow growing, painless, nodular mass in the tail of the parotid.  ",Warthin’s tumor,Keratoacanthoma,Merkel cell carcinoma,Pleomorphic adenoma,Salivary,,,,,
"A painless, slow growing mass in the superficial lobe of the parotid that is benign tumor composed of a mixture of epithelial and mesenchymal elements is the",Pleomorphic adenoma,Warthin’s tumor ,Adenocarcinoma,Merkel cell carcinoma,Salivary,,,,,
"On a palate is a smooth surfaced dome shaped lesion. It is a histologically encapsulated tumor composed of a mixture of double layered ducts, myoepithelial cells, and mesenchymal stromal tissue ranging from hyalinized to myxoid to myxochondroid. ",Pleomorphic adenoma,Merkel cell carcinoma,Adenocarcinoma,Squamous cell carcinoma,Salivary,,,,,
"Smokers are 8x more likely to develop. It is histologically a thinly encapsulated, cystic tumor composed of a papillary proliferation of columnar and basaloid oncocytes arranged in a bilateral with a surrounding lymphoid stroma. ",Warthin tumor ,Merkel cell carcinoma,Adenocarcinoma,Melanoma ,Salivary,,,,,
The second most common salivary gland tumor of the upper lip. ,Canalicular adenoma,Warthin’s tumor,Mucoepidermoid carcinoma,Basal cell adenoma ,Salivary,,,,,
"Female predilection, middle aged or older, most frequently located in the parotid. Uncommon, benign, monomorphic salivary gland tumor. ",Basal cell adenoma,Adenocarcinoma,Squamous cell carcinoma,Verrucous carcinoma,Salivary,,,,,
"Found in the parotid, seen in the elderly, rare, benign, tumor composed of large, polyhedral cells with eosinophilic and granular cytoplasm and centrally located nuclei. Rarely exceeds 4 cm. ",Oncocytoma,Verrucous carcinoma,Adenocarcinoma,Warthin’s tumor,Salivary,,,,,
Exophytic papillary lesion contiguous with deep ductal structures lined by a bilayer of oncocytic cells; mixed inflammatory infiltrate. Usually occurs most often in the minor glands of the palate. ,Sialadenoma papilliferum,Intraductal papilloma,Divergent papilloma,Inverted papilloma ,Salivary,,,,,
The Schirmer test is associated with ,Xerophthalmia,Xerostomia,Sialography,Erythema,Salivary,,,,,
Secondary Sjogren can be associated with systemic lupus erythematosus. ,TRUE,FALSE,,,Salivary,,,,,
The most common associated connective tissue disease with Sjogren syndrome is rheumatoid arthritis. ,TRUE,FALSE,,,Salivary,,,,,
The prognosis for Sjogren disease is life threatening. ,FALSE,TRUE,,,Salivary,,,,,
"A dry, leathery tongue, diffuse enamel erosion, and xerostomia are features of ",Salivary gland aplasia,Ranula,Mucocele,Sialolithiasis,Salivary,,,,,
"New dentures, aphthous ulcers, gastro-esophageal reflux disease, rabies, and heavy metal poisoning are causes of ",Sialorrhea,Sjogren syndrome,Cheilitis glandularis,Granulomatous cheilitis,Salivary,,,,,
"The most common malignant salivary gland tumor, at least in the united states, is the ",Mucoepidermoid carcinoma,Polymorphous low-grade adenocarcinoma,Warthin’s tumor,Basal cell adenoma,Salivary,,,,,
The greatest percentage of epithelial salivary gland tumor malignancies occur in the  __________ glands(s).,Sublingual,Parotid,Submandibular,Minor,Salivary,,,,,
The most common salivary gland neoplasm is the ,Pleomorphic adenoma,Polymorphous low-grade adenocarcinoma,Basal cell adenoma,Acinic cell carcinoma,Salivary,,,,,
A benign salivary gland neoplasm that occurs almost exclusively in the parotid gland is the ,Warthin tumor,Polymorphous low-grade adenocarcinoma,Basal cell adenoma,Mucoepidermoid carcinoma,Salivary,,,,,
Which of the following is the most common location for a mucocele?,Lower lip,Upper lip,Tongue,Buccal mucosa ,Salivary,,,,,
A ranula is a specific type of mucocele located where?,Floor of the mouth,Tongue,Upper lip,Lower lip,Salivary,,,,,
Which of the following is the most common salivary gland tumor?,Pleomorphic adenoma,Mucoepidermoid carcinoma,Acinic cell carcinoma,Warthin’s tumor,Salivary,,,,,
Which salivary gland tumor is associated with smoking?,Warthin’s tumor,Mucocele,Salivary duct cyst,Pleomorphic adenoma,Salivary,,,,,
Which of the following treatments would you NOT recommended for your patient with xerostomia?,Hydration with sugary drinks,Fluoride trays,Artificial saliva such as Biotene,Oral hygiene instructions,Salivary,,,,,
Which of the following conditions is associated with dry mouth and dry eyes?,Sjogren syndrome,Necrotizing sialometaplasia,Mumps,Ranula,Salivary,,,,,
"The dentist you work for forgot to pay attention in oral pathology class. The pathology report says the diagnosis of your patient’s palatal lesion is “necrotizing sialometaplasia.” The dentist is unsure what to do now; and, having paid attention, you tell the dentist which of the following?","Because the condition is self-limiting, no additional treatment is needed",He should prescribe antibiotics because it is an infectious condition,He should prescribe antifungals because it is a fungal condition,He needs to remove the entire lesion because it is cancerous,Salivary,,,,,
The papillary cystadenoma lymphomatosum is a benign salivary gland tumor that occurs in older males with a history of cigarette smoking. The eponym (named after a person) for this tumor is,Warthin tumor,Stenson tumor,Mikulicz tumor,Pindborg tumor,Salivary,,,,,
"The most common malignant tumor of the salivary glands, occurring over a wide age range, is the",Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Acinic cell carcinoma,Pleomorphic adenoma,Salivary,,,,,
A salivary gland malignancy with a distinctive histologic pattern (“Swiss cheese”) and a tendency to encircle or invade nerves is the,Adenoid cystic carcinoma,Mucoepidermoid carcinoma,Acinic cell carcinoma,Pleomorphic adenoma,Salivary,,,,,
The most common site for salivary gland tumors is the,Parotid gland,Gland of Blandin-Nuhn,Submandibular gland,Sublingual gland,Salivary,,,,,
"By definition, adenocarcinoma arises from",Glands ,Adenoids,Buccal mucosa,Nerves,Salivary,,,,,
A ranula is a specific name for a mucocele located where? ,Floor of mouth,Doral tongue,Palate,Upper lip,Salivary,,,,,
Smokers have an increased risk of which of the following benign salivary gland tumors?,Warthin tumor,Acinic cell carcinoma,Mucoepidermoid carcinoma,Polymorphous low-grade adenocarcinoma,Salivary,,,,,
"With the discovery of this new salivary gland tumor in 2010, most zymogen granule-poor intraoral acinic cell carcinomas were reclassified as which of the following entities, which has histopathologic and molecular features similar to a type of breast carcinoma?",(Mammary analogue) secretory carcinoma,Polymorphous low-grade adenocarcinoma,Adenoid cystic carcinoma,Warthin tumor,Salivary,,,,,
"In granulomatous diseases, the granulomas are predominantly composed of",Histiocytes,Plasma cells,Lymphocytes,Eosinophils,Salivary,,,,,
The pleomorphism in the pleomorphic adenoma (PA) is ,"Architectural pleomorphism, which explains why you will never see the same PA twice","Cellular pleomorphism, which explains why it is easily mistaken for a malignancy","Neither, the founders of this lesion clearly need a refresher in latin word roots","Both cellular and architectural pleomorphism, making this a tough diagnosis that requires numerous immunohistochemical stains to differentiate it from the more common malignant tumors",Salivary,,,,,
"One of your favorite patients of record, who you just saw just over a month ago for restorative work in the upper left quadrant, presents with the chief complaint of “the roof of my mouth fell out.” You sit him in your chair and look to see a crater-like, “cookie-cutter” ulceration of the left palate, i.e. no raised, rolled, indurated border. The patient, who has always been a good historian, tells you that this was preceded by a painful swelling of three weeks duration. At the top of your differential diagnosis is necrotizing sialometaplasia. Which of the following is the appropriate treatment option for this patient?","Despite its worrisome appearance, no treatment is indicated","Given its malignant potential, excisional biopsy with wide margins is indicated","Like the TUGSE, an incisional biopsy is indicated, which induces bleeding and thus promotes healing",Place the patient on antibiotics and narcotics ,Salivary,,,,,
Which statement pertaining to herpetiform aphthae is FALSE?,They are never seen on keratinized mucosa,They are unrelated to HSV-1 and HSV-2,They should improve with application of a topical steroid,"Of aphthae, they demonstrate the highest frequency of recurrence ",Soft Tissue,,,,,
What is the most common intraoral location for verruciform xanthomas?,Gingiva/alveolar mucosa,Tongue,Labial mucosa,Buccal mucosa,Soft Tissue,Epithelial Pathology,,,,
Restricted opening is a common clinical finding in patients with,Oral submucous fibrosis,Actinic cheilitis,Smokeless tobacco keratosis,Dysplasia,Soft Tissue,Chemical/Physical Injury,Epithelial Pathology,,,
Which of the following HPV subtypes is most associated with  oropharyngeal and cervical carcinomas?,16,18,6,11,Soft Tissue,Epithelial Pathology,,,,
Which of the following lesions is/are transmitted by sexual contact?,Condyloma acuminatum,Verruciform xanthoma,Granular cell tumor,Fibroma,Soft Tissue,Infection,Chemical/Physical Injury,,,
Sialodochitis is a consistent finding in,Nicotine stomatitis,Oral submucous fibrosis,Actinic cheilitis,Smokeless tobacco keratosis,Soft Tissue,Chemical/Physical Injury,Epithelial Pathology,,,
"Multiple flattened, pink papules creating a “cobblestone appearance” are most likely to be observed in a patient with",Heck disease,Proliferative verrucous leukoplakia,Condyloma acuminatum,Granular cell tumor,Soft Tissue,Epithelial Pathology,,,,
"Multiple flattened, pink papules creating a “cobblestone appearance” are most likely to be observed in a patient with",Multifocal epithelial hyperplasia,Proliferative verrucous leukoplakia,Condyloma acuminatum,Granular cell tumor,Soft Tissue,,,,,
The most common malignancy of the oral cavity is a/an,Squamous cell carcinoma,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Fibroma,Soft Tissue,Epithelial Pathology,,,,
"A smooth, lobulated, easily bleeding mass associated with irritation",Pyogenic granuloma,Peripheral ossifying fibroma,Fibroma,Varix,Soft Tissue,,,,,
"Oral lesion referred to a ""pregnancy tumor""",Pyogenic granuloma,Hemangioma,Fibroma,Varix,Soft Tissue,,,,,
Mucosal colored dome shaped lesion associated with biting trauma,Fibroma,Pyogenic granuloma,Peripheral giant cell granuloma,Retrocuspid papilla,Soft Tissue,,,,,
A lesion that histologically resembles a giant cell fibroma ,Retrocuspid papilla,Peripheral ossifying fibroma,Pyogenic granuloma,Peripheral giant cell granuloma,Soft Tissue,,,,,
Synonym for epulis fissuratum (associated with ill-fitting dentures),Inflammatory fibrous hyperplasia,Inflammatory papillary hyperplasia,Pyogenic granuloma,Fibroma,Soft Tissue,,,,,
Often painful lesion which may be found in the region of the mental foramen ,Traumatic neuroma,Gingival cyst,Lateral periodontal cyst,Fibroma,Soft Tissue,Pain,,,,
"The most common soft tissue sarcoma of children, frequently occurring in the head and neck, is",Rhabdomyosarcoma,Cystic hygroma,Congenital epulis,Synovial sarcoma,Soft Tissue,,,,,
The retrocuspid papilla has the same histologic appearance as a ,Giant cell fibroma,Fibroma,Gingival hyperplasia,Ford torus,Soft Tissue,,,,,
Antoni A and Antoni B tissue are histologic features of ,Schwannoma,Neurofibroma,Neuroma,Sicilian pizza burn,Soft Tissue,,,,,
"The nasopharyngeal angiofibroma, a tumor of dense fibrous connective tissues and dilated thin-walled vessels, occurs almost exclusively in",Males,Females,Icelandic Eskimos,Native Americans,Soft Tissue,,,,,
"Lymphangiomas, benign hamartomas of lymphatic vessels, exist in three types: capillary, cavernous, and ",Cystic hygroma,Arterial,Venous,Lymphomatous,Soft Tissue,,,,,
"A sessile, mucosal-colored nodule of the buccal mucosa near the level of the occlusal plane most likely represents",Irritation fibroma,Hemangioma,Pyogenic granuloma,Epulis granulomatosa,Soft Tissue,,,,,
"A smooth, lobulated, easily bleeding gingival mass associated  with pregnancy and irritation is the",Pyogenic granuloma,Pyostomatitis vegetans,Stomatitis venenata,Irritation fibroma,Soft Tissue,,,,,
"A painful, pink nodule, often found in the area of the mental foramen, and easily traumatized by dentures on an atrophic mandibular ridge, is the ",Traumatic neuroma ,Peripheral giant cell granuloma,Traumatic granuloma,Peripheral ossifying fibroma,Soft Tissue,Pain,,,,
"A pink, dome-shaped mass, commonly located in areas subject to bite trauma, Is the ",Irritation fibroma,Granular cell tumor,Maltoma,Papilloma,Soft Tissue,,,,,
"A small pink papule that occurs on the gingiva, lingual to the mandibular canine teeth, that resembles the giant cell fibroma histologically is the ",Retrocuspid papilla,Retromolar tuberosity,Lingual caruncle,Retromolar pad,Soft Tissue,,,,,
The oral lymphoepithelial cyst and the brachial cleft cyst have a nearly identical histologic presentation. ,TRUE,FALSE,,,Soft Tissue,Developmental ,,,,
Neurofibromatosis is uniquely characterized by ,Plexiform neurofibromas ,Iris hamartomas,Café au lait macules,Freckling in the “armpit” area,Soft Tissue,Syndromes,,,,
Which of the following is NOT a characteristic of multiple endocrine neoplasia 2B?,Mucosal neurofibromas,Marfanoid features ,An increased risk of pheochromocytomas,A very high risk of medullary carcinoma,Soft Tissue,Syndromes,,,,
Melanotic neuroectodermal tumors of infancy and the congenital epulis of the newborn are both,More commonly associated with the maxilla,Associated with a small percentage of malignant outcomes,Similar to a granular cell tumor ,Associated with a female predilection,Soft Tissue,,,,,
The granular cell tumor is an uncommon tumor that is most commonly found on the dorsal tongue.,TRUE,FALSE,,,Soft Tissue,,,,,
All people with port wine stains have Sturge-Weber angiomatosis.,FALSE,TRUE,,,Soft Tissue,,,,,
Which of the following is a characteristic of nasopharyngeal angiofibromas?,They have characteristic features on imaging studies that support its diagnosis,They are exclusive to teenage females,They are treated with chemotherapy,They are common and non-destructive,Soft Tissue,,,,,
Which of the following is a characteristic of cervical lymphangiomas?,"At times, they grow so large they may extend into the mouth or chest",May cause Microglossia,Have a predilection for the elderly,Usually resolve as the patient ages,Soft Tissue,,,,,
Angiosarcoma and Kaposi’s sarcoma are both ,Vascular neoplasms,Associated with viral etiology,Iatrogenic subtypes,Treated the same,Soft Tissue,,,,,
Which of the following is TRUE of rhabdomyosarcoma?,Most commonly found in the head and neck region,Malignant tumor of smooth muscle,"Less common than its benign counter-part, the rhabdomyoma ",Disease of the elderly,Soft Tissue,,,,,
Which of the following is TRUE of metastases to the oral cavity?,More commonly associated with males,Relatively common,Should be treated with en bloc resection,Always prostate,Soft Tissue,,,,,
Which of the following statements is TRUE of a fibroma?,Treated by conservative surgical excision,Not a tumor,Generally considered to be neoplastic,Exclusively in the cheek ,Soft Tissue,,,,,
